image_id,context,original_description,enhanced_description
1,home_life,A mother serving dinner to her family.,"A warm and cozy family dining room, a loving mother serving dinner to her smiling family, bright and expressive faces, joyful poses, two children eagerly waiting, simple yet charming background, illustration by (Studio ghibli style, Art by Hayao Miyazaki:1.2), soft warm colors, 2D anime."
2,dating,A couple eating a simple spaghetti dinner.,"A couple enjoying a simple spaghetti dinner, their expressive faces and animated poses evoking joy and intimacy, illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), 2D anime, soft and warm colors, gentle lighting, simplistic background with subtle details, table set with minimalistic decor, cozy atmosphere"
3,education,A teacher lecturing her students by writing on a blackboard.,"An expressive teacher lecturing her students, her face animated and enthusiastic, writing energetically on a large, simple blackboard, students' faces showing curiosity and engagement, simple classroom background, illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), 2D anime, cartoon, vibrant colors, soft shading, warm and inviting atmosphere"
4,sports,A couple of friends playing soccer outside.,"Two friends energetically playing soccer on a sunny day, expressive faces and dynamic poses, simple grassy field background, illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), 2D anime, vibrant colors, joyful and playful mood, clear blue sky, light shadows, detailed characters with flowing hair and animated clothing."
5,internet,Friends sitting next to each other and sharing memes on their smart phones.,"A group of friends sitting closely together on a wooden bench, sharing memes on their smartphones, expressive faces filled with joy and laughter, surrounded by a simple, hand-drawn background, illustration by (Studio ghibli style, Art by Hayao Miyazaki:1.2), 2D anime style, vibrant colors, warm and cheerful mood, smooth lines, clear and detailed character expressions, minimalistic setting."
6,jobs,A software engineer programming on his computer with 2 monitors.,"A dedicated software engineer intensely focused on programming on his dual-monitor setup, surrounded by a clean and minimalist workspace, expressive face showcasing determination, simple background featuring a few essential office items, character posing confidently while typing, illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), vibrant colors, fluid lines, soft shadowing, capturing a serene yet motivated atmosphere"
7,home_life,A family watching a movie together in the living room.,"A family with expressive faces and dynamic poses, sitting together on a cozy sofa, watching a movie in a warm, inviting living room. The background is simple yet charming, with soft lighting illuminating the room. Illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), 2D anime, vibrant colors, heartwarming atmosphere, detailed facial expressions, gentle shadows, smooth lines, minimalist background elements."
8,shopping,A woman buying fresh vegetables at the market.,"A cheerful woman with a bright smile buying fresh vegetables at a bustling market, expressive face and pose, colorful stalls, lively atmosphere, simple background, (illustration by Studio ghibli style, Art by Hayao Miyazaki:1.2)"
9,transportation,A man waiting for the bus at a bus stop.,"A man with an expressive face and a relaxed pose waiting at a simple bus stop, surrounded by a gentle, minimalistic background, illustration by (Studio ghibli style, Art by Hayao Miyazaki:1.2). The man is casually dressed in light, breezy clothing, holding a small bag, with the bus stop sign prominently displayed. The scene captures a serene, calm mood, with subtle, warm colors and soft lighting. The composition focuses on the man's anticipation and the simplicity of everyday life."
10,healthcare,A doctor examining a patient in a clinic.,"Illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), a warm and inviting clinic with soft lighting, a friendly doctor with a gentle smile examining a patient, expressive faces, caring and attentive poses, minimal background with soothing colors, simple 2D anime-style characters, clean lines, and subtle details, comforting and calm atmosphere."
11,dining,Friends enjoying a meal at a restaurant.,"Friends enjoying a meal at a charming restaurant, expressive faces and lively poses, cozy ambiance, simple background, illustrated in (Studio Ghibli style, Art by Hayao Miyazaki:1.2), 2D anime, warm lighting, colorful table setting, cartoonish characters"
12,travel,Tourists taking photos in front of a famous landmark.,"Tourists with expressive faces and animated poses, taking photos in front of a famous landmark, simple background, 2D anime style, illustration by (Studio ghibli style, Art by Hayao Miyazaki:1.2), vibrant colors, clear bright sky, playful and cheerful mood, minimalistic details, sharp focus"
13,weather,People walking under umbrellas in the rain.,"People walking under colorful umbrellas in the gentle rain, wearing bright raincoats, expressive faces, lively poses, simple background with soft pastel colors, illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), characters and animals enjoying the moment, detailed puddles and raindrops, charming and whimsical mood."
14,entertainment,A group of friends playing board games.,"A group of friends with expressive faces and dynamic poses, playing board games at a round table, set against a simple background, 2D anime, illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), warm colors, cheerful mood, detailed facial expressions, cozy atmosphere."
15,fitness,A person jogging in the park.,"A joyful person jogging along a winding path in a sunlit park, surrounded by lush green trees and colorful flowers, expressive face filled with determination, simple 2D anime illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), detailed yet minimalist background, vibrant colors, serene mood, sharp focus, animated movements."
16,family,Parents reading a bedtime story to their child.,"Parents reading a bedtime story to their child, soft warm glow from a bedside lamp, cozy bedroom setting, child nestled in blankets, parents seated on either side, animated expressions, gentle smiles, engaging gestures, simple background, illustration by (Studio ghibli style, Art by Hayao Miyazaki:1.2), 2D anime, expressive faces and poses, soft pastel colors, whimsical atmosphere"
17,celebrations,A family celebrating a birthday with a cake.,"A joyful family celebrating a birthday with a colorful cake, illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2). The scene shows expressive faces and animated poses, parents and children gathered around the table. The background features a simple, warmly lit room with minimal decorations but vibrant, adding a cozy atmosphere."
18,communication,A person making a video call on a laptop.,"A cheerful person with a warm smile, making a video call on a sleek laptop, expressive facial features, relaxed pose, simple background, illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), vibrant colors, cozy atmosphere."
19,nature,People hiking in the mountains.,"People hiking in the mountains, expressive faces and dynamic poses, simple background, vibrant colors, lush green hills, tall trees, soft sunlight, clear blue sky, 2D anime illustration by (Studio ghibli style, Art by Hayao Miyazaki:1.2)"
20,office,Employees having a meeting in a conference room.,"Employees having a meeting in a sunlit conference room, expressive faces and poses, laptop on the table, modern office furniture, wall art, simple background, 2D anime style, illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2)"
21,hobbies,A person painting on a canvas.,"A person painting on a canvas, expressive face filled with concentration, vibrant colors of paint on the palette, simple wooden easel, illustration by ((Studio Ghibli style)), art by (Hayao Miyazaki:1.2), soft lighting, gentle and warm atmosphere, simple background with a few potted plants, detailed brush strokes, whimsical and serene mood, highly detailed character, dynamic pose."
22,social_events,Friends having a picnic in the park.,"Friends having a picnic in the park, vibrant and lively scene, expressive faces and poses, green grass, colorful picnic blanket, delicious food laid out, tall trees in the background, soft sunlight filtering through the leaves, (illustration by (Studio ghibli style, Art by Hayao Miyazaki:1.2))"
23,errands,A man mailing a letter at the post office.,"A cheerful man with expressive eyes and a warm smile, mailing a letter at a quaint post office. The man wears casual clothing, and his enthusiastic pose conveys excitement. The post office is simple with a vintage mailbox and a few potted plants near the entrance. Illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), bright colors, soft shading, 2D anime style, minimalistic background."
24,personal_care,A woman getting a haircut at the salon.,"A woman with long, flowing ((hair:1.2)) getting a haircut at a cozy salon, expressive face, joyful smile, whimsical atmosphere, warm colors, soft lighting, simple background with salon chairs and mirrors, characters in Studio Ghibli style, art by (Hayao Miyazaki:1.2), highly detailed haircutting tools, haircut in progress, animated expressions and dynamic poses, 2D anime illustration."
25,school,Students studying together in a library.,"Students studying together in a cozy library, illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), bright and warm atmosphere, wooden bookshelves lined with colorful books, expressive faces and poses, detailed yet simple background, anime style, sharp focus"
26,home_life,A person cleaning the kitchen.,"A cheerful person with an expressive face, animatedly cleaning the kitchen, sweeping the floor with a broom; bright colors, simple background, minimalistic design, 2D cartoon style; illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2); warm and cozy mood."
27,dating,A couple holding hands while walking in the park.,"A couple holding hands while walking in a serene park, vibrant autumn leaves falling around them, illustration by (Studio ghibli style, Art by Hayao Miyazaki:1.2), the characters have expressive faces full of joy and love, playful poses, simple background with large trees and a gentle pathway, 2D anime style"
28,education,Students working on a group project in class.,"Students working on a group project in class, expressive faces and dynamic poses, wooden desks, colorful school supplies scattered, simple chalkboard background, bright lighting, illustration by (Studio ghibli style, Art by Hayao Miyazaki:1.2)"
29,sports,Children playing basketball at the playground.,"Illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2). Children with expressive faces and dynamic poses playing basketball on a simple playground. The scene features a vibrant atmosphere with bright colors. The children wear casual sports attire, and their movements are captured with fluidity. The background showcases minimalistic elements like a few trees, a fence, and a clear blue sky, keeping the focus on the lively action of the game."
30,internet,A teenager watching a video on a tablet.,"A teenager with expressive eyes and an open-mouthed smile, sitting cross-legged on a wooden floor, watching a video on a tablet, bright and colorful screen reflection on the face, illustration by (Studio ghibli style, Art by (Hayao Miyazaki:1.2)), simple background, warm and cozy room, soft lighting, anime style, 2D cartoon, highly detailed facial expressions and relaxed pose"
31,jobs,A chef cooking in a restaurant kitchen.,"A cheerful chef creating a culinary masterpiece in a bustling restaurant kitchen, expressive face and dynamic pose, surrounded by colorful ingredients and utensils, steaming pots, and pans, illustration by (Studio ghibli style, Art by Hayao Miyazaki:1.2), vibrant 2D anime aesthetic, simple background with warm tones"
32,home_life,A man fixing a leaky faucet.,"A man with expressive face and determined pose, fixing a leaky faucet, simple background, illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), 2D cartoon, vibrant colors, gentle shading, lighthearted mood, detailed hands and tools, water droplets falling"
33,shopping,A couple browsing clothes in a store.,"An expressive couple excitedly browsing clothes in a quaint store, cheerful faces and animated poses, simple background, 2D anime, cartoon style, illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), warm lighting, playful atmosphere."
34,transportation,A woman riding a bicycle on a sunny day.,"A woman with a joyful expression riding a vintage bicycle, flowing hair, sunny day, green meadows, illustrated by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), expressive poses, simple background, 2D anime, colorful, clear blue sky, peaceful mood, gentle breeze, vibrant flowers along the path"
35,healthcare,A nurse giving a patient an injection.,"A nurse giving a patient an injection, (Studio ghibli style, Art by Hayao Miyazaki:1.2), 2D anime illustration, simple background, expressive faces and poses, nurse in a classic white uniform, patient seated with a calm and trusting expression, bright colors, warm and gentle atmosphere, delicate linework, clean composition, smooth and soft shading, intimate and caring moment"
36,dining,A family having breakfast together at home.,"An expressive family enjoying breakfast together at a cozy home, warm sunlight streaming through a window, wooden table with an array of delicious food, joyful expressions, lively conversation, illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), simple background, soft colors, detailed character poses and facial expressions, 2D anime style"
37,travel,A man checking into a hotel at the reception desk.,"A man with a friendly smile checking into a hotel at the reception desk, expressive faces and gestures, simple 2D anime, illustration by (Studio ghibli style, Art by Hayao Miyazaki:1.2), warm lighting, cozy atmosphere, detailed reception counter, minimalistic background"
38,weather,A family building a snowman in the yard.,"A family building a snowman in the yard, expressive faces, joyful and playful poses, simple background with snow-covered trees, bright and colorful, 2D anime style, (illustration by Studio Ghibli style, Art by Hayao Miyazaki:1.2), warm winter clothing with vibrant patterns, soft snowflakes falling, (smooth, whimsical:1.2) mood"
39,entertainment,People watching a concert at an outdoor venue.,"People with expressive faces and animated poses watching a lively concert at an outdoor venue, simple background, 2D anime style, illustration by (Studio ghibli style, Art by Hayao Miyazaki:1.2)"
40,fitness,A person lifting weights at the gym.,"A determined person lifting heavy weights at the gym, muscles flexing, sweat glistening, bright colors, simple background, dynamic pose, expressive face, 2D anime illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2)"
41,family,Siblings playing with toys on the floor.,"Siblings with expressive faces and dynamic poses, playing with colorful toys on the floor in a cozy room, simple background, 2D illustration by (Studio ghibli style, Art by Hayao Miyazaki:1.2), warm and cheerful mood, soft and bright colors, intricate toy details, children laughing and interacting joyfully"
42,celebrations,Friends toasting drinks at a party.,"Friends joyfully toasting drinks at a lively party, expressive faces and dynamic poses, cheerful mood, vibrant colors, illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), simple yet detailed background, 2D anime style, soft lighting"
43,communication,A person writing an email on a laptop.,"A person with an expressive face and focused eyes, typing on a laptop, their posture slightly hunched, in a 2D anime style; simplified background with a desk and a window letting in soft sunlight; illustration by (Studio ghibli style, Art by Hayao Miyazaki:1.2); warm colors, gentle shadows, calming and serene mood."
44,nature,A family having a picnic in a meadow.,"A cheerful family having a picnic in a sunlit meadow, vibrant green grass, colorful flowers scattered, simple background, expressive faces and joyful poses, 2D anime style illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), gentle breeze, warm and inviting atmosphere, light shadows, clear blue sky with a few fluffy clouds."
45,office,A person working late at night in an office.,"A tired (person:1.1) in a dimly lit office, surrounded by (papers) and a glowing computer screen, moonlight filtering through the window, (expressive face:1.2), (slumped posture), cat curled up on the desk, animated by (Studio Ghibli style:1.2), (Art by Hayao Miyazaki:1.2), simple (background), serene (mood), soft (colors), gentle (shading), (illustration)."
46,hobbies,A woman knitting a scarf.,"A cheerful woman knitting a colorful scarf, her face lit up with a warm smile, her hands skillfully maneuvering the needles; expressive posture, simple background with soft pastel colors, 2D illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), cozy atmosphere."
47,social_events,A group of people dancing at a wedding.,"A joyful group of people dancing at a wedding, colorful attire, expressive faces, dynamic poses, cheerful atmosphere, simple background, 2D anime, illustration by (Studio ghibli style, Art by Hayao Miyazaki:1.2)"
48,errands,A woman grocery shopping at the supermarket.,"An expressive woman grocery shopping at a bustling supermarket, animated features, cheerful demeanor, carrying a basket; colorful aisles lined with fresh produce and neatly arranged goods in a simple background, illustration by (Studio Ghibli style, Art by Hayao Miyazaki:1.2), whimsical, vibrant colors, 2D anime style, smooth lines, lively atmosphere."
49,personal_care,A man shaving in front of a mirror.,"A man with an expressive face shaving in front of a simple mirror, soft lighting, clean lines, minimalistic bathroom background, detailed 2D anime style, illustration by ((Studio Ghibli style, Art by Hayao Miyazaki:1.2)), gentle colors, peaceful mood."
50,school,A teacher helping a student with homework.,"A teacher with a warm and encouraging smile, sitting closely beside a student at a wooden desk, assisting with homework, colorful books and papers scattered, expressive faces and dynamic poses, illustration by (Studio ghibli style, Art by Hayao Miyazaki:1.2), simple classroom background, soft pastel colors, gentle lighting, heartwarming and uplifting mood."
